Korai osztrák - magyar szablya;Használt;Élettartam garancia;46.000Ft;150.000Ft;https://www.vatera.hu/korai-osztrak-magyar-szablya-3213377345.html
M1869 Osztrák-Magyar Monarchiás Solingeni pengés lovastiszti kard huszártiszti szablya;Használt;Nincs;62.500Ft;N/A;https://www.vatera.hu/m1869-osztrak-magyar-monarchias-solingeni-penges-lovastiszti-kard-huszartiszti-szablya-3211923497.html
Csappantyús pisztoly;Használt;Élettartam garancia;28.001Ft;75.000Ft;https://www.vatera.hu/csappantyus-pisztoly-3210106889.html
NAGY! SZARVASGYILOK VADÁSZTŐR KIS KÉS KIEGÉSZÍTŐVEL , BŐR TOKKAL BRONZ ELEMEKKEL MARATOTT PENGÉVEL !;Használt;1 hónap;36.000 Ft;N/A;https://www.vatera.hu/nagy-szarvasgyilok-vadasztor-kis-kes-kiegeszitovel-bor-tokkal-bronz-elemekkel-maratott-pengevel-3211019753.html
Német rakéta pisztoly.;Használt;Nincs;155.000Ft;162.000Ft;https://www.vatera.hu/nemet-raketa-pisztoly-3212429162.html
Kovás puska , 1800 as évek;Használt;Élettartam garancia;100.000Ft;130.000Ft;https://www.vatera.hu/kovas-puska-1800-as-evek-3211698263.html
Antik, talán több mint 100 éves önvédelmi eszköz - Sétapálcának álcázott vas bot bőrrel bevonva...;Használt;Kipróbálási, megtekintési;1Ft;;https://www.vatera.hu/antik-talan-tobb-mint-100-eves-onvedelmi-eszkoz-setapalcanak-alcazott-vas-bot-borrel-bevonva-3212391485.html
Afgán kard , tőr;Használt;Élettartam garancia;45.000Ft;65.000Ft;https://www.vatera.hu/afgan-kard-tor-3210110075.html
Csendőrszurony hüvely;Használt;Nincs;41.001Ft;;https://www.vatera.hu/csendorszurony-huvely-3209727107.html
